"altura_tot","diametro","inclinacio","origen","barrio","comuna","fres_am"
3,4,12,"Exótico","BOEDO",5,"no"
10,20,0,"Exótico","SAN CRISTOBAL",3,"si"
7,16,15,"Exótico","VILLA DEVOTO",11,"no"
21,52,14,"Exótico","RECOLETA",2,"no"
14,34,0,"Exótico","PALERMO",14,"si"
10,27,0,"Exótico","CABALLITO",6,"si"
11,18,0,"Exótico","RECOLETA",2,"no"
6,18,0,"Exótico","VILLA LUGANO",8,"si"
10,35,0,"Exótico","FLORES",7,"no"
11,69,0,"Exótico","SAAVEDRA",12,"no"
4,10,0,"Exótico","BELGRANO",13,"no"
2,5,0,"Nativo/Autóctono","CABALLITO",6,"no"
7,16,0,"Exótico","PARQUE CHAS",15,"si"
6,17,0,"Exótico","PARQUE CHACABUCO",7,"si"
3,19,0,"Exótico","PARQUE CHAS",15,"no"
6,8,0,"Exótico","BOCA",4,"no"
16,31,0,"Exótico","PALERMO",14,"no"
7,60,0,"Exótico","COLEGIALES",13,"no"
12,55,0,"Exótico","VILLA URQUIZA",12,"no"
6,35,0,"Exótico","VILLA DEL PARQUE",11,"si"
7,50,0,"Exótico","AGRONOMIA",15,"si"
5,23,11,"Exótico","VELEZ SARSFIELD",10,"no"
6,20,0,"Exótico","VILLA URQUIZA",12,"si"
8,32,0,"Exótico","VILLA SOLDATI",8,"si"
9,36,4,"Exótico","SAAVEDRA",12,"si"
4,10,0,"Exótico","MONTE CASTRO",10,"no"
12,36,0,"Exótico","VILLA DEVOTO",11,"no"
7,31,0,"Exótico","VILLA LUGANO",8,"si"
9,20,0,"Exótico","CABALLITO",6,"si"
8,22,15,"Nativo/Autóctono","SAN CRISTOBAL",3,"no"
9,28,0,"Exótico","ALMAGRO",5,"si"
2,7,0,"Exótico","NUEVA POMPEYA",4,"no"
15,50,0,"Exótico","CABALLITO",6,"si"
10,20,13,"Exótico","ALMAGRO",5,"si"
9,25,7,"Exótico","FLORESTA",10,"si"
6,13,0,"Exótico","MATADEROS",9,"si"
20,66,0,"Exótico","PALERMO",14,"no"
12,36,0,"Nativo/Autóctono","RECOLETA",2,"no"
9,10,0,"Exótico","NUÑEZ",13,"no"
3,25,0,"Exótico","MATADEROS",9,"no"
8,21,12,"Exótico","LINIERS",9,"si"
6,10,0,"Exótico","PARQUE CHACABUCO",7,"no"
9,19,0,"Exótico","SAAVEDRA",12,"no"
8,33,12,"Exótico","VILLA LUGANO",8,"si"
15,35,10,"Exótico","VILLA DEVOTO",11,"no"
12,40,0,"Exótico","CABALLITO",6,"no"
14,60,0,"Exótico","VILLA URQUIZA",12,"no"
7,27,0,"Exótico","COGHLAN",12,"no"
7,23,0,"Exótico","VILLA RIACHUELO",8,"no"
4,15,0,"Exótico","CABALLITO",6,"no"
6,9,11,"Exótico","RECOLETA",2,"si"
14,68,0,"Exótico","BOEDO",5,"no"
3,6,0,"Exótico","PATERNAL",15,"si"
17,9,14,"Exótico","SAN CRISTOBAL",3,"no"
15,60,14,"Exótico","PALERMO",14,"no"
4,8,0,"Nativo/Autóctono","VILLA CRESPO",15,"no"
13,56,10,"Exótico","SAAVEDRA",12,"no"
7,26,0,"Exótico","MATADEROS",9,"no"
3,8,0,"Nativo/Autóctono","PARQUE CHAS",15,"no"
14,70,0,"Exótico","FLORESTA",10,"no"
6,23,0,"Exótico","CHACARITA",15,"si"
6,9,11,"Exótico","VILLA LUGANO",8,"no"
8,30,10,"Exótico","FLORES",7,"si"
11,54,0,"Exótico","SAAVEDRA",12,"no"
9,36,0,"Exótico","FLORES",7,"si"
4,8,18,"Exótico","VILLA CRESPO",15,"no"
11,39,0,"Exótico","MATADEROS",9,"si"
4,29,0,"No Determinado","VILLA SANTA RITA",11,"no"
18,50,0,"Nativo/Autóctono","CABALLITO",6,"no"
6,34,0,"Exótico","PARQUE AVELLANEDA",9,"no"
9,25,0,"Exótico","PARQUE CHAS",15,"si"
3,8,6,"Nativo/Autóctono","SAAVEDRA",12,"no"
23,70,6,"Exótico","VILLA URQUIZA",12,"no"
7,39,0,"Exótico","VILLA DEVOTO",11,"si"
8,26,7,"Exótico","MATADEROS",9,"no"
6,45,0,"Exótico","BELGRANO",13,"no"
4,17,8,"Exótico","MATADEROS",9,"si"
17,62,0,"Nativo/Autóctono","CABALLITO",6,"no"
2,2,0,"Exótico","VILLA LURO",10,"no"
20,60,0,"Exótico","FLORESTA",10,"no"
8,63,9,"Exótico","BELGRANO",13,"no"
4,10,0,"Exótico","MONTE CASTRO",10,"si"
6,38,4,"Exótico","VILLA PUEYRREDON",12,"no"
5,57,6,"Exótico","PARQUE AVELLANEDA",9,"no"
7,43,0,"Exótico","MONTE CASTRO",10,"no"
10,41,0,"Exótico","NUÑEZ",13,"no"
10,27,31,"Nativo/Autóctono","VILLA DEL PARQUE",11,"no"
3,5,0,"Exótico","MATADEROS",9,"si"
9,22,0,"Exótico","NUÑEZ",13,"no"
4,10,0,"Exótico","VILLA URQUIZA",12,"no"
20,13,10,"Exótico","COGHLAN",12,"si"
11,25,0,"Exótico","PARQUE PATRICIOS",4,"no"
4,8,6,"Exótico","SAAVEDRA",12,"no"
6,21,10,"Exótico","VILLA URQUIZA",12,"no"
9,30,0,"Exótico","VILLA SOLDATI",8,"si"
10,17,0,"Exótico","NUÑEZ",13,"no"
2,6,10,"Exótico","MONTE CASTRO",10,"no"
15,73,0,"Exótico","COLEGIALES",13,"no"
11,49,7,"Exótico","SAAVEDRA",12,"si"
16,58,16,"Exótico","PALERMO",14,"no"
4,16,0,"Exótico","BELGRANO",13,"si"
9,25,0,"Exótico","ALMAGRO",5,"si"
5,13,0,"Exótico","NUÑEZ",13,"no"
11,60,0,"Exótico","BARRACAS",4,"no"
6,17,20,"No Determinado","ALMAGRO",5,"no"
16,74,0,"Exótico","VELEZ SARSFIELD",10,"no"
7,13,0,"Exótico","CHACARITA",15,"no"
3,4,15,"Exótico","BALVANERA",3,"no"
7,29,0,"Exótico","CABALLITO",6,"si"
9,22,0,"Exótico","SAN TELMO",1,"no"
11,55,6,"Exótico","VILLA DEL PARQUE",11,"no"
8,26,0,"Exótico","BELGRANO",13,"no"
4,7,18,"Exótico","VILLA URQUIZA",12,"si"
12,70,20,"Exótico","VILLA LURO",10,"no"
10,49,8,"Exótico","PALERMO",14,"no"
4,14,0,"Exótico","MONTE CASTRO",10,"no"
8,40,15,"Exótico","COLEGIALES",13,"si"
3,10,0,"Exótico","VILLA DEVOTO",11,"no"
12,58,0,"Exótico","SAN CRISTOBAL",3,"si"
5,15,9,"Exótico","CABALLITO",6,"no"
1,43,0,"Exótico","SAN CRISTOBAL",3,"si"
7,25,0,"Exótico","BOEDO",5,"si"
8,14,0,"Exótico","SAAVEDRA",12,"no"
1,15,0,"No Determinado","PARQUE CHAS",15,"no"
18,64,10,"Nativo/Autóctono","CHACARITA",15,"no"
15,50,0,"Exótico","CABALLITO",6,"no"
21,55,0,"Exótico","VILLA DEVOTO",11,"no"
6,16,0,"Exótico","LINIERS",9,"si"
2,8,0,"Exótico","NUÑEZ",13,"no"
9,20,9,"Exótico","FLORESTA",10,"no"
9,20,0,"Exótico","BOEDO",5,"no"
8,42,0,"Exótico","MATADEROS",9,"si"
8,36,0,"Exótico","PARQUE CHAS",15,"si"
8,22,0,"Exótico","PARQUE CHACABUCO",7,"si"
10,38,10,"Exótico","AGRONOMIA",15,"si"
4,11,0,"Exótico","BALVANERA",3,"si"
3,6,0,"Exótico","VILLA GRAL. MITRE",11,"no"
5,14,0,"Exótico","MATADEROS",9,"no"
5,25,0,"Exótico","SAAVEDRA",12,"no"
8,25,19,"Exótico","MATADEROS",9,"si"
4,19,0,"Exótico","BOCA",4,"no"
7,17,0,"Exótico","VILLA DEVOTO",11,"si"
16,50,0,"Exótico","FLORES",7,"no"
8,28,10,"Exótico","PALERMO",14,"si"
5,9,0,"Exótico","SAN NICOLAS",1,"no"
5,8,0,"Exótico","VILLA DEVOTO",11,"no"
9,34,0,"Exótico","FLORESTA",10,"si"
13,25,10,"Exótico","COLEGIALES",13,"si"
10,20,0,"Exótico","PALERMO",14,"si"
10,40,0,"Exótico","VILLA CRESPO",15,"si"
17,70,0,"Nativo/Autóctono","PALERMO",14,"no"
8,16,15,"Exótico","PARQUE AVELLANEDA",9,"no"
3,6,0,"Exótico","VELEZ SARSFIELD",10,"no"
14,34,0,"Exótico","RECOLETA",2,"si"
8,20,0,"Exótico","CABALLITO",6,"no"
7,36,25,"Nativo/Autóctono","BELGRANO",13,"no"
24,90,0,"Exótico","MONTE CASTRO",10,"no"
10,18,0,"Exótico","NUÑEZ",13,"si"
6,19,0,"Exótico","VILLA URQUIZA",12,"si"
8,20,9,"Exótico","CABALLITO",6,"si"
3,22,0,"Exótico","NUÑEZ",13,"no"
10,50,0,"Exótico","VILLA REAL",10,"no"
7,39,0,"Exótico","VILLA CRESPO",15,"si"
17,60,7,"Nativo/Autóctono","BOEDO",5,"no"
8,18,3,"Exótico","PALERMO",14,"no"
5,35,0,"Exótico","FLORES",7,"no"
11,28,27,"Exótico","SAN CRISTOBAL",3,"si"
4,7,0,"Exótico","CONSTITUCION",1,"si"
11,29,0,"Exótico","PALERMO",14,"no"
5,11,0,"Exótico","VELEZ SARSFIELD",10,"si"
4,8,0,"Exótico","VILLA LURO",10,"no"
8,36,15,"Exótico","VILLA DEL PARQUE",11,"no"
7,35,0,"Exótico","MATADEROS",9,"si"
9,35,0,"Exótico","LINIERS",9,"no"
7,48,0,"Exótico","VILLA GRAL. MITRE",11,"si"
1,3,6,"Exótico","LINIERS",9,"no"
8,45,20,"Exótico","FLORES",7,"no"
6,5,0,"No Determinado","VILLA URQUIZA",12,"no"
3,12,0,"Exótico","BELGRANO",13,"no"
3,27,0,"Exótico","FLORES",7,"no"
3,5,0,"Exótico","ALMAGRO",5,"no"
7,60,0,"Nativo/Autóctono","VILLA LUGANO",8,"no"
5,21,0,"Exótico","VILLA LURO",10,"si"
6,10,0,"Exótico","SAAVEDRA",12,"si"
7,26,0,"Exótico","VILLA ORTUZAR",15,"no"
2,50,0,"Exótico","NUEVA POMPEYA",4,"no"
3,9,0,"Exótico","VILLA PUEYRREDON",12,"no"
3,25,0,"Exótico","FLORESTA",10,"no"
15,68,0,"Exótico","PALERMO",14,"no"
9,17,0,"Exótico","CONSTITUCION",1,"si"
12,35,7,"Exótico","VILLA DEL PARQUE",11,"no"
6,16,40,"Exótico","PARQUE PATRICIOS",4,"si"
6,33,0,"Exótico","BOEDO",5,"si"
10,26,0,"Exótico","FLORES",7,"si"
12,30,0,"Exótico","VILLA CRESPO",15,"si"
3,15,0,"Exótico","BARRACAS",4,"no"
7,12,0,"Exótico","VILLA RIACHUELO",8,"no"
5,4,0,"Exótico","CABALLITO",6,"no"
12,33,17,"Exótico","ALMAGRO",5,"si"
12,21,0,"Exótico","VILLA URQUIZA",12,"no"
21,35,0,"Nativo/Autóctono","PARQUE PATRICIOS",4,"no"
3,18,0,"Exótico","BALVANERA",3,"no"
7,21,0,"Exótico","VELEZ SARSFIELD",10,"no"
12,55,0,"Exótico","LINIERS",9,"no"
9,40,0,"Exótico","NUEVA POMPEYA",4,"si"
6,32,10,"No Determinado","VILLA PUEYRREDON",12,"no"
11,57,0,"Exótico","CABALLITO",6,"no"
9,17,0,"Exótico","RECOLETA",2,"si"
10,22,0,"Exótico","VILLA LURO",10,"no"
12,65,0,"Exótico","MATADEROS",9,"no"
6,45,0,"Exótico","VILLA PUEYRREDON",12,"si"
6,12,25,"Exótico","FLORESTA",10,"no"
7,20,0,"Exótico","BOEDO",5,"no"
2,17,0,"Exótico","VILLA LUGANO",8,"no"
8,20,0,"Exótico","VILLA DEVOTO",11,"si"
3,3,0,"Exótico","FLORES",7,"no"
11,40,0,"Exótico","BARRACAS",4,"si"
16,70,0,"Nativo/Autóctono","PALERMO",14,"no"
6,21,0,"Exótico","PALERMO",14,"si"
4,20,0,"Exótico","VILLA LUGANO",8,"no"
7,26,0,"Exótico","VILLA SOLDATI",8,"si"
7,60,0,"Exótico","PARQUE CHAS",15,"no"
6,8,0,"Exótico","PARQUE PATRICIOS",4,"si"
4,3,9,"Exótico","BARRACAS",4,"no"
5,16,0,"Exótico","MONTE CASTRO",10,"no"
7,28,0,"Exótico","ALMAGRO",5,"si"
4,10,0,"Exótico","VILLA LURO",10,"no"
8,23,0,"Exótico","CABALLITO",6,"no"
8,14,0,"Exótico","BELGRANO",13,"si"
9,28,0,"Exótico","MATADEROS",9,"no"
7,18,5,"Exótico","SAAVEDRA",12,"si"
14,55,0,"Exótico","VILLA PUEYRREDON",12,"no"
16,64,0,"Exótico","PALERMO",14,"no"
13,90,8,"Exótico","VILLA CRESPO",15,"no"
8,21,0,"Exótico","VELEZ SARSFIELD",10,"no"
5,13,0,"Exótico","VILLA LUGANO",8,"si"
3,5,0,"Exótico","BALVANERA",3,"no"
14,50,0,"Nativo/Autóctono","PARQUE CHACABUCO",7,"no"
10,50,15,"Exótico","PARQUE AVELLANEDA",9,"no"
5,27,0,"Exótico","PARQUE AVELLANEDA",9,"no"
5,39,0,"Exótico","VILLA URQUIZA",12,"si"
4,28,0,"Exótico","MATADEROS",9,"no"
9,30,0,"Exótico","SAN CRISTOBAL",3,"si"
6,20,0,"Exótico","PARQUE CHACABUCO",7,"no"
10,60,0,"Exótico","BOCA",4,"si"
13,26,15,"Exótico","COGHLAN",12,"si"
3,6,0,"Exótico","CABALLITO",6,"no"
8,36,0,"Exótico","COGHLAN",12,"si"
7,35,0,"Exótico","VILLA SANTA RITA",11,"si"
8,43,0,"Nativo/Autóctono","MATADEROS",9,"no"
10,38,14,"Exótico","SAN CRISTOBAL",3,"si"
6,15,0,"Exótico","BALVANERA",3,"si"
9,46,0,"Exótico","VILLA SOLDATI",8,"si"
6,29,0,"Exótico","VILLA LUGANO",8,"no"
7,19,0,"Exótico","VILLA DEVOTO",11,"si"
3,10,0,"Exótico","CABALLITO",6,"no"
3,31,0,"Exótico","NUEVA POMPEYA",4,"no"
13,32,0,"Exótico","PARQUE AVELLANEDA",9,"si"
3,68,10,"Exótico","VILLA DEVOTO",11,"no"
15,39,0,"Nativo/Autóctono","CABALLITO",6,"no"
15,47,0,"Exótico","PARQUE CHACABUCO",7,"no"
5,29,0,"Exótico","FLORES",7,"no"
3,3,0,"Exótico","PARQUE AVELLANEDA",9,"si"
7,14,0,"Exótico","VILLA LUGANO",8,"no"
15,80,0,"Exótico","VILLA LURO",10,"no"
12,30,0,"Exótico","LINIERS",9,"no"
16,49,0,"Exótico","PALERMO",14,"no"
10,32,10,"Exótico","CABALLITO",6,"no"
11,26,0,"Exótico","CABALLITO",6,"no"
17,58,0,"Exótico","PALERMO",14,"no"
5,14,0,"Exótico","FLORESTA",10,"si"
16,46,0,"Exótico","FLORES",7,"no"
4,8,6,"Exótico","VILLA URQUIZA",12,"no"
10,60,0,"Exótico","NUÑEZ",13,"no"
7,19,0,"Exótico","LINIERS",9,"si"
8,40,20,"Exótico","NUÑEZ",13,"no"
7,22,0,"Exótico","BOEDO",5,"no"
12,25,0,"Exótico","PALERMO",14,"si"
10,49,0,"Exótico","VERSALLES",10,"no"
11,37,0,"Exótico","AGRONOMIA",15,"no"
10,25,0,"Exótico","NUÑEZ",13,"si"
11,26,10,"Exótico","SAN TELMO",1,"si"
14,51,0,"Exótico","VILLA URQUIZA",12,"no"
6,34,10,"Exótico","PARQUE PATRICIOS",4,"si"
4,11,0,"Exótico","NUEVA POMPEYA",4,"no"
9,28,0,"Exótico","VILLA DEVOTO",11,"no"
7,22,0,"Exótico","VILLA SOLDATI",8,"si"
21,65,0,"Exótico","BELGRANO",13,"no"
12,41,7,"Exótico","NUEVA POMPEYA",4,"si"
8,28,15,"Exótico","VILLA LURO",10,"no"
3,7,0,"Exótico","LINIERS",9,"no"
5,12,4,"Nativo/Autóctono","BARRACAS",4,"no"
3,12,0,"Exótico","VERSALLES",10,"no"
16,60,0,"Exótico","PARQUE PATRICIOS",4,"no"
5,9,0,"Exótico","PATERNAL",15,"si"
10,21,25,"Exótico","RECOLETA",2,"si"
12,60,14,"Exótico","FLORESTA",10,"no"
4,30,0,"Exótico","VILLA LUGANO",8,"no"
6,30,0,"Exótico","MATADEROS",9,"no"
8,23,0,"Exótico","MATADEROS",9,"no"
2,5,0,"Nativo/Autóctono","LINIERS",9,"no"
